date,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,city,lat,lng,admin_name,population,temp_category,precip_category,wind_category,risk_score,risk_level
2026-09-16,3,25.8,21.2,0.0,0.0,14.3,37.1,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-17,3,25.6,20.3,0.0,0.0,12.2,34.6,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-18,3,25.3,19.3,0.0,0.0,13.0,34.9,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-19,2,26.4,19.8,0.0,0.0,11.2,30.6,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-20,2,28.8,21.4,0.0,0.0,10.2,31.3,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-21,45,30.4,21.6,0.0,0.0,11.3,32.8,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-22,45,28.8,20.7,0.0,0.0,12.5,33.1,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0,Hot,Dry,Calm,0,Low
2026-09-16,3,26.0,17.6,0.0,0.0,17.8,42.8,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Windy,15,Low
2026-09-17,3,26.7,17.0,0.0,0.0,10.6,26.3,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Calm,0,Low
2026-09-18,2,28.2,18.8,0.0,0.0,17.3,41.4,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Windy,15,Low
2026-09-19,1,27.7,21.9,0.0,0.0,31.4,76.3,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Stormy,30,Low
2026-09-20,1,28.0,23.7,0.0,0.0,33.1,81.0,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Stormy,30,Low
2026-09-21,1,26.3,22.3,0.0,0.0,39.6,77.0,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Stormy,30,Low
2026-09-22,1,26.4,21.6,0.0,0.0,33.6,63.7,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0,Hot,Dry,Stormy,30,Low
2026-09-16,1,31.3,21.0,0.0,0.0,16.5,41.4,Fs,,,,,Hot,Dry,Windy,15,Low
2026-09-17,3,28.9,18.6,0.0,0.0,12.8,33.8,Fs,,,,,Hot,Dry,Calm,0,Low
2026-09-18,3,31.0,18.2,0.0,3.0,10.5,28.8,Fs,,,,,Hot,Dry,Calm,0,Low
2026-09-19,2,34.0,21.1,0.0,0.0,17.7,46.4,Fs,,,,,Hot,Dry,Windy,15,Low
2026-09-20,2,36.1,22.3,0.0,0.0,17.7,44.6,Fs,,,,,Extreme Heat,Dry,Windy,30,Low
2026-09-21,2,36.5,22.9,0.0,3.0,12.5,35.8,Fs,,,,,Extreme Heat,Dry,Calm,15,Low
2026-09-22,0,36.1,21.3,0.0,3.0,9.1,24.5,Fs,,,,,Extreme Heat,Dry,Calm,15,Low
2026-09-16,1,34.6,21.9,0.0,0.0,12.1,33.1,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Hot,Dry,Calm,0,Low
2026-09-17,2,30.3,19.0,0.0,0.0,10.5,29.2,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Hot,Dry,Calm,0,Low
2026-09-18,3,31.9,19.4,0.0,0.0,8.0,24.8,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Hot,Dry,Calm,0,Low
2026-09-19,2,34.8,21.7,0.0,2.0,7.3,24.1,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Hot,Dry,Calm,0,Low
2026-09-20,3,38.3,24.2,0.08,15.0,11.1,32.8,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Extreme Heat,Light Rain,Calm,25,Low
2026-09-21,80,36.3,22.7,1.88,3.0,13.5,27.4,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Extreme Heat,Light Rain,Calm,25,Low
2026-09-22,3,36.1,21.8,0.0,3.0,10.0,19.8,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0,Extreme Heat,Dry,Calm,15,Low
2026-09-16,0,37.4,25.2,0.0,0.0,18.5,45.0,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Extreme Heat,Dry,Windy,30,Low
2026-09-17,3,29.2,21.1,0.0,0.0,15.1,38.9,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Hot,Dry,Calm,0,Low
2026-09-18,2,26.8,20.1,0.0,0.0,14.1,40.0,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Hot,Dry,Windy,0,Low
2026-09-19,2,27.5,21.0,0.0,0.0,12.6,36.4,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Hot,Dry,Calm,0,Low
2026-09-20,45,27.3,21.3,0.0,0.0,12.6,35.6,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Hot,Dry,Calm,0,Low
2026-09-21,1,33.4,21.3,0.0,0.0,13.0,26.6,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Hot,Dry,Calm,0,Low
2026-09-22,3,35.8,22.0,0.0,0.0,15.4,31.7,Agadir,30.4214,-9.5831,Souss-Massa,538000.0,Extreme Heat,Dry,Calm,15,Low
