date,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,city,lat,lng,admin_name,population
2026-09-14,2,32.0,23.6,0.0,0.0,10.3,29.5,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-15,45,28.3,21.8,0.0,0.0,11.6,32.8,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-16,2,25.6,20.9,0.0,0.0,14.6,38.2,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-17,3,25.6,19.7,0.0,2.0,12.5,34.2,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-18,2,25.4,18.2,0.0,3.0,14.8,38.5,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-19,45,28.6,19.8,0.0,2.0,13.1,34.9,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-20,45,31.7,21.1,0.0,0.0,13.3,35.3,Casablanca,33.5992,-7.62,Casablanca-Settat,3950000.0
2026-09-14,1,29.7,22.5,0.0,0.0,25.4,60.1,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-15,1,30.4,21.1,0.0,0.0,16.9,38.5,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-16,3,26.9,18.2,0.0,0.0,21.3,48.6,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-17,3,26.2,18.8,0.0,0.0,15.0,34.9,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-18,3,28.2,18.7,0.0,0.0,21.4,49.3,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-19,3,27.3,21.7,0.0,0.0,34.2,64.8,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-20,3,26.9,22.9,0.0,3.0,35.1,65.5,Tangier,35.7767,-5.8039,Tanger-Tétouan-Al Hoceïma,1275428.0
2026-09-14,2,38.3,23.5,0.0,0.0,11.0,29.5,Fs,,,,
2026-09-15,3,35.1,23.7,0.0,0.0,15.5,38.9,Fs,,,,
2026-09-16,1,31.3,20.5,0.0,0.0,16.8,40.3,Fs,,,,
2026-09-17,3,27.7,18.7,0.0,3.0,12.2,33.5,Fs,,,,
2026-09-18,3,32.0,18.0,0.0,13.0,9.7,27.0,Fs,,,,
2026-09-19,3,37.4,21.2,0.0,5.0,9.8,26.7,Fs,,,,
2026-09-20,2,38.9,23.5,0.0,5.0,17.2,41.0,Fs,,,,
2026-09-14,3,40.0,23.2,0.0,5.0,12.1,40.0,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-15,3,37.8,24.2,0.0,5.0,14.8,38.9,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-16,0,34.6,20.3,0.0,0.0,13.3,35.6,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-17,1,30.3,18.3,0.0,0.0,8.8,26.3,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-18,1,31.7,18.2,0.0,15.0,7.9,25.2,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-19,3,35.7,19.6,0.3,17.0,12.9,23.0,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-20,2,37.9,20.3,0.0,18.0,11.3,23.0,Marrakech,31.6295,-7.9811,Marrakech-Safi,1085330.0
2026-09-14,3,38.9,28.6,0.0,5.0,17.5,42.8,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-15,2,34.6,26.5,0.0,0.0,11.2,31.0,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-16,0,36.5,23.8,0.0,0.0,16.3,47.9,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-17,2,28.0,20.3,0.0,2.0,13.8,36.0,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-18,2,26.3,19.7,0.0,5.0,13.5,36.7,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-19,3,37.7,20.2,0.0,3.0,16.3,40.0,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
2026-09-20,1,40.1,25.2,0.0,0.0,16.9,38.5,Agadir,30.4214,-9.5831,Souss-Massa,538000.0
